[16:57:20] Starting load test
[16:57:20] MIG Config: all-7g.40gb
[16:57:20] Ollama Replicas: 1
[16:57:20] Total requests: 300
[16:57:20] Concurrency: 300
[16:57:20] Output tokens (effort): 25
[16:57:20] Prometheus URL: http://10.146.0.55:30090
[16:57:20] DCGM/Prometheus nominal sample interval: 5s
[16:57:20] Delayed activity wait timeout: 25s
[16:57:20] Checking required DCGM metrics
Prometheus preflight OK (DCGM_FI_PROF_GR_ENGINE_ACTIVE=1, DCGM_FI_PROF_DRAM_ACTIVE=1, DCGM_FI_DEV_FB_USED=1, DCGM_FI_DEV_FB_FREE=1, DCGM_FI_DEV_POWER_USAGE=1)
[16:57:20] REQUEST: 1 - STARTED in background (active_jobs=1)
[16:57:20] REQUEST: 2 - STARTED in background (active_jobs=2)
[16:57:20] REQUEST: 3 - STARTED in background (active_jobs=3)
[16:57:20] REQUEST: 4 - STARTED in background (active_jobs=4)
[16:57:20] REQUEST: 5 - STARTED in background (active_jobs=5)
[16:57:20] REQUEST: 6 - STARTED in background (active_jobs=6)
[16:57:20] REQUEST: 7 - STARTED in background (active_jobs=7)
[16:57:20] REQUEST: 8 - STARTED in background (active_jobs=8)
[16:57:20] REQUEST: 9 - STARTED in background (active_jobs=9)
[16:57:20] REQUEST: 10 - STARTED in background (active_jobs=10)
[16:57:20] REQUEST: 11 - STARTED in background (active_jobs=11)
[16:57:20] REQUEST: 12 - STARTED in background (active_jobs=12)
[16:57:20] REQUEST: 13 - STARTED in background (active_jobs=13)
[16:57:20] REQUEST: 14 - STARTED in background (active_jobs=14)
[16:57:20] REQUEST: 15 - STARTED in background (active_jobs=15)
[16:57:20] REQUEST: 16 - STARTED in background (active_jobs=16)
[16:57:20] REQUEST: 17 - STARTED in background (active_jobs=17)
[16:57:20] REQUEST: 18 - STARTED in background (active_jobs=18)
[16:57:20] REQUEST: 19 - STARTED in background (active_jobs=19)
[16:57:20] REQUEST: 20 - STARTED in background (active_jobs=20)
[16:57:20] REQUEST: 21 - STARTED in background (active_jobs=21)
[16:57:20] REQUEST: 22 - STARTED in background (active_jobs=22)
[16:57:20] REQUEST: 23 - STARTED in background (active_jobs=23)
[16:57:20] REQUEST: 24 - STARTED in background (active_jobs=24)
[16:57:20] REQUEST: 25 - STARTED in background (active_jobs=25)
[16:57:20] REQUEST: 26 - STARTED in background (active_jobs=26)
[16:57:20] REQUEST: 27 - STARTED in background (active_jobs=27)
[16:57:20] REQUEST: 28 - STARTED in background (active_jobs=28)
[16:57:21] REQUEST: 29 - STARTED in background (active_jobs=29)
[16:57:21] REQUEST: 30 - STARTED in background (active_jobs=30)
[16:57:21] REQUEST: 31 - STARTED in background (active_jobs=31)
[16:57:21] REQUEST: 32 - STARTED in background (active_jobs=32)
[16:57:21] REQUEST: 33 - STARTED in background (active_jobs=33)
[16:57:21] REQUEST: 34 - STARTED in background (active_jobs=34)
[16:57:21] REQUEST: 35 - STARTED in background (active_jobs=35)
[16:57:21] REQUEST: 36 - STARTED in background (active_jobs=36)
[16:57:21] REQUEST: 37 - STARTED in background (active_jobs=37)
[16:57:21] REQUEST: 38 - STARTED in background (active_jobs=38)
[16:57:21] REQUEST: 39 - STARTED in background (active_jobs=39)
[16:57:21] REQUEST: 40 - STARTED in background (active_jobs=40)
[16:57:21] REQUEST: 41 - STARTED in background (active_jobs=41)
[16:57:21] REQUEST: 42 - STARTED in background (active_jobs=42)
[16:57:21] REQUEST: 43 - STARTED in background (active_jobs=43)
[16:57:21] REQUEST: 44 - STARTED in background (active_jobs=44)
[16:57:21] REQUEST: 45 - STARTED in background (active_jobs=45)
[16:57:21] REQUEST: 46 - STARTED in background (active_jobs=46)
[16:57:21] REQUEST: 47 - STARTED in background (active_jobs=47)
[16:57:21] REQUEST: 48 - STARTED in background (active_jobs=48)
[16:57:21] REQUEST: 49 - STARTED in background (active_jobs=49)
[16:57:21] REQUEST: 50 - STARTED in background (active_jobs=50)
[16:57:21] REQUEST: 51 - STARTED in background (active_jobs=51)
[16:57:21] REQUEST: 52 - STARTED in background (active_jobs=52)
[16:57:21] REQUEST: 53 - STARTED in background (active_jobs=53)
[16:57:21] REQUEST: 54 - STARTED in background (active_jobs=54)
[16:57:21] REQUEST: 55 - STARTED in background (active_jobs=55)
[16:57:21] REQUEST: 56 - STARTED in background (active_jobs=56)
[16:57:21] REQUEST: 57 - STARTED in background (active_jobs=57)
[16:57:21] REQUEST: 58 - STARTED in background (active_jobs=58)
[16:57:21] REQUEST: 59 - STARTED in background (active_jobs=59)
[16:57:21] REQUEST: 60 - STARTED in background (active_jobs=60)
[16:57:21] REQUEST: 61 - STARTED in background (active_jobs=61)
[16:57:21] REQUEST: 62 - STARTED in background (active_jobs=62)
[16:57:21] REQUEST: 63 - STARTED in background (active_jobs=63)
[16:57:21] REQUEST: 64 - STARTED in background (active_jobs=64)
[16:57:21] REQUEST: 65 - STARTED in background (active_jobs=65)
[16:57:21] REQUEST: 66 - STARTED in background (active_jobs=66)
[16:57:21] REQUEST: 67 - STARTED in background (active_jobs=67)
[16:57:21] REQUEST: 68 - STARTED in background (active_jobs=68)
[16:57:21] REQUEST: 69 - STARTED in background (active_jobs=69)
[16:57:21] REQUEST: 70 - STARTED in background (active_jobs=70)
[16:57:21] REQUEST: 71 - STARTED in background (active_jobs=71)
[16:57:21] REQUEST: 72 - STARTED in background (active_jobs=72)
[16:57:21] REQUEST: 73 - STARTED in background (active_jobs=73)
[16:57:21] REQUEST: 74 - STARTED in background (active_jobs=74)
[16:57:21] REQUEST: 75 - STARTED in background (active_jobs=75)
[16:57:21] REQUEST: 76 - STARTED in background (active_jobs=76)
[16:57:21] REQUEST: 77 - STARTED in background (active_jobs=77)
[16:57:21] REQUEST: 78 - STARTED in background (active_jobs=78)
[16:57:21] REQUEST: 79 - STARTED in background (active_jobs=79)
[16:57:21] REQUEST: 80 - STARTED in background (active_jobs=80)
[16:57:21] REQUEST: 81 - STARTED in background (active_jobs=81)
[16:57:21] REQUEST: 82 - STARTED in background (active_jobs=82)
[16:57:21] REQUEST: 83 - STARTED in background (active_jobs=83)
[16:57:21] REQUEST: 84 - STARTED in background (active_jobs=84)
[16:57:21] REQUEST: 85 - STARTED in background (active_jobs=85)
[16:57:21] REQUEST: 86 - STARTED in background (active_jobs=86)
[16:57:21] REQUEST: 87 - STARTED in background (active_jobs=87)
[16:57:21] REQUEST: 88 - STARTED in background (active_jobs=88)
[16:57:21] REQUEST: 89 - STARTED in background (active_jobs=89)
[16:57:21] REQUEST: 90 - STARTED in background (active_jobs=90)
[16:57:21] REQUEST: 91 - STARTED in background (active_jobs=91)
[16:57:21] REQUEST: 92 - STARTED in background (active_jobs=92)
[16:57:21] REQUEST: 93 - STARTED in background (active_jobs=93)
[16:57:21] REQUEST: 94 - STARTED in background (active_jobs=94)
[16:57:21] REQUEST: 95 - STARTED in background (active_jobs=95)
[16:57:21] REQUEST: 96 - STARTED in background (active_jobs=96)
[16:57:21] REQUEST: 97 - STARTED in background (active_jobs=97)
[16:57:21] REQUEST: 98 - STARTED in background (active_jobs=98)
[16:57:21] REQUEST: 99 - STARTED in background (active_jobs=99)
[16:57:21] REQUEST: 100 - STARTED in background (active_jobs=100)
[16:57:21] REQUEST: 101 - STARTED in background (active_jobs=101)
[16:57:21] REQUEST: 102 - STARTED in background (active_jobs=102)
[16:57:21] REQUEST: 103 - STARTED in background (active_jobs=103)
[16:57:21] REQUEST: 104 - STARTED in background (active_jobs=104)
[16:57:21] REQUEST: 105 - STARTED in background (active_jobs=105)
[16:57:21] REQUEST: 106 - STARTED in background (active_jobs=106)
[16:57:21] REQUEST: 107 - STARTED in background (active_jobs=107)
[16:57:21] REQUEST: 108 - STARTED in background (active_jobs=108)
[16:57:21] REQUEST: 109 - STARTED in background (active_jobs=109)
[16:57:21] REQUEST: 110 - STARTED in background (active_jobs=110)
[16:57:21] REQUEST: 111 - STARTED in background (active_jobs=111)
[16:57:21] REQUEST: 112 - STARTED in background (active_jobs=112)
[16:57:21] REQUEST: 113 - STARTED in background (active_jobs=113)
[16:57:21] REQUEST: 114 - STARTED in background (active_jobs=114)
[16:57:21] REQUEST: 115 - STARTED in background (active_jobs=115)
[16:57:21] REQUEST: 116 - STARTED in background (active_jobs=116)
[16:57:21] REQUEST: 117 - STARTED in background (active_jobs=117)
[16:57:21] REQUEST: 118 - STARTED in background (active_jobs=118)
[16:57:21] REQUEST: 119 - STARTED in background (active_jobs=119)
[16:57:21] REQUEST: 120 - STARTED in background (active_jobs=120)
[16:57:21] REQUEST: 121 - STARTED in background (active_jobs=121)
[16:57:21] REQUEST: 122 - STARTED in background (active_jobs=122)
[16:57:21] REQUEST: 123 - STARTED in background (active_jobs=123)
[16:57:21] REQUEST: 124 - STARTED in background (active_jobs=124)
[16:57:21] REQUEST: 125 - STARTED in background (active_jobs=125)
[16:57:21] REQUEST: 126 - STARTED in background (active_jobs=126)
[16:57:21] REQUEST: 127 - STARTED in background (active_jobs=127)
[16:57:21] REQUEST: 128 - STARTED in background (active_jobs=128)
[16:57:21] REQUEST: 129 - STARTED in background (active_jobs=129)
[16:57:21] REQUEST: 130 - STARTED in background (active_jobs=130)
[16:57:21] REQUEST: 131 - STARTED in background (active_jobs=131)
[16:57:21] REQUEST: 132 - STARTED in background (active_jobs=132)
[16:57:21] REQUEST: 133 - STARTED in background (active_jobs=133)
[16:57:21] REQUEST: 134 - STARTED in background (active_jobs=134)
[16:57:21] REQUEST: 135 - STARTED in background (active_jobs=135)
[16:57:21] REQUEST: 136 - STARTED in background (active_jobs=136)
[16:57:21] REQUEST: 137 - STARTED in background (active_jobs=137)
[16:57:21] REQUEST: 138 - STARTED in background (active_jobs=138)
[16:57:21] REQUEST: 139 - STARTED in background (active_jobs=139)
[16:57:21] REQUEST: 140 - STARTED in background (active_jobs=140)
[16:57:21] REQUEST: 141 - STARTED in background (active_jobs=141)
[16:57:21] REQUEST: 142 - STARTED in background (active_jobs=142)
[16:57:21] REQUEST: 143 - STARTED in background (active_jobs=143)
[16:57:21] REQUEST: 144 - STARTED in background (active_jobs=144)
[16:57:21] REQUEST: 145 - STARTED in background (active_jobs=145)
[16:57:21] REQUEST: 146 - STARTED in background (active_jobs=146)
[16:57:21] REQUEST: 147 - STARTED in background (active_jobs=147)
[16:57:21] REQUEST: 148 - STARTED in background (active_jobs=148)
[16:57:21] REQUEST: 149 - STARTED in background (active_jobs=149)
[16:57:21] REQUEST: 150 - STARTED in background (active_jobs=150)
[16:57:21] REQUEST: 151 - STARTED in background (active_jobs=151)
[16:57:21] REQUEST: 152 - STARTED in background (active_jobs=152)
[16:57:21] REQUEST: 153 - STARTED in background (active_jobs=153)
[16:57:21] REQUEST: 154 - STARTED in background (active_jobs=154)
[16:57:21] REQUEST: 155 - STARTED in background (active_jobs=155)
[16:57:21] REQUEST: 156 - STARTED in background (active_jobs=156)
[16:57:21] REQUEST: 157 - STARTED in background (active_jobs=157)
[16:57:21] REQUEST: 158 - STARTED in background (active_jobs=158)
[16:57:21] REQUEST: 159 - STARTED in background (active_jobs=159)
[16:57:21] REQUEST: 160 - STARTED in background (active_jobs=160)
[16:57:21] REQUEST: 161 - STARTED in background (active_jobs=161)
[16:57:21] REQUEST: 162 - STARTED in background (active_jobs=162)
[16:57:21] REQUEST: 163 - STARTED in background (active_jobs=163)
[16:57:21] REQUEST: 164 - STARTED in background (active_jobs=164)
[16:57:21] REQUEST: 165 - STARTED in background (active_jobs=165)
[16:57:21] REQUEST: 166 - STARTED in background (active_jobs=166)
[16:57:21] REQUEST: 7 - COMPLETED
[16:57:21] REQUEST: 167 - STARTED in background (active_jobs=167)
[16:57:21] REQUEST: 168 - STARTED in background (active_jobs=168)
