[17:10:43] Starting load test
[17:10:43] MIG Config: all-7g.40gb
[17:10:43] Ollama Replicas: 7
[17:10:43] Total requests: 200
[17:10:43] Concurrency: 200
[17:10:43] Output tokens (effort): 25
[17:10:43] Prometheus URL: http://10.146.0.55:30090
[17:10:43] DCGM/Prometheus nominal sample interval: 5s
[17:10:43] Delayed activity wait timeout: 25s
[17:10:43] Checking required DCGM metrics
Prometheus preflight OK (DCGM_FI_PROF_GR_ENGINE_ACTIVE=1, DCGM_FI_PROF_DRAM_ACTIVE=1, DCGM_FI_DEV_FB_USED=1, DCGM_FI_DEV_FB_FREE=1, DCGM_FI_DEV_POWER_USAGE=1)
[17:10:44] REQUEST: 1 - STARTED in background (active_jobs=1)
[17:10:44] REQUEST: 2 - STARTED in background (active_jobs=2)
[17:10:44] REQUEST: 3 - STARTED in background (active_jobs=3)
[17:10:44] REQUEST: 4 - STARTED in background (active_jobs=4)
[17:10:44] REQUEST: 5 - STARTED in background (active_jobs=5)
[17:10:44] REQUEST: 6 - STARTED in background (active_jobs=6)
[17:10:44] REQUEST: 7 - STARTED in background (active_jobs=7)
[17:10:44] REQUEST: 8 - STARTED in background (active_jobs=8)
[17:10:44] REQUEST: 9 - STARTED in background (active_jobs=9)
[17:10:44] REQUEST: 10 - STARTED in background (active_jobs=10)
[17:10:44] REQUEST: 11 - STARTED in background (active_jobs=11)
[17:10:44] REQUEST: 12 - STARTED in background (active_jobs=12)
[17:10:44] REQUEST: 13 - STARTED in background (active_jobs=13)
[17:10:44] REQUEST: 14 - STARTED in background (active_jobs=14)
[17:10:44] REQUEST: 15 - STARTED in background (active_jobs=15)
[17:10:44] REQUEST: 16 - STARTED in background (active_jobs=16)
[17:10:44] REQUEST: 17 - STARTED in background (active_jobs=17)
[17:10:44] REQUEST: 18 - STARTED in background (active_jobs=18)
[17:10:44] REQUEST: 19 - STARTED in background (active_jobs=19)
[17:10:44] REQUEST: 20 - STARTED in background (active_jobs=20)
[17:10:44] REQUEST: 21 - STARTED in background (active_jobs=21)
[17:10:44] REQUEST: 22 - STARTED in background (active_jobs=22)
[17:10:44] REQUEST: 23 - STARTED in background (active_jobs=23)
[17:10:44] REQUEST: 24 - STARTED in background (active_jobs=24)
[17:10:44] REQUEST: 25 - STARTED in background (active_jobs=25)
[17:10:44] REQUEST: 26 - STARTED in background (active_jobs=26)
[17:10:44] REQUEST: 27 - STARTED in background (active_jobs=27)
[17:10:44] REQUEST: 28 - STARTED in background (active_jobs=28)
[17:10:44] REQUEST: 29 - STARTED in background (active_jobs=29)
[17:10:44] REQUEST: 30 - STARTED in background (active_jobs=30)
[17:10:44] REQUEST: 31 - STARTED in background (active_jobs=31)
[17:10:44] REQUEST: 32 - STARTED in background (active_jobs=32)
[17:10:44] REQUEST: 33 - STARTED in background (active_jobs=33)
[17:10:44] REQUEST: 34 - STARTED in background (active_jobs=34)
[17:10:44] REQUEST: 35 - STARTED in background (active_jobs=35)
[17:10:44] REQUEST: 36 - STARTED in background (active_jobs=36)
[17:10:44] REQUEST: 37 - STARTED in background (active_jobs=37)
[17:10:44] REQUEST: 38 - STARTED in background (active_jobs=38)
[17:10:44] REQUEST: 39 - STARTED in background (active_jobs=39)
[17:10:44] REQUEST: 40 - STARTED in background (active_jobs=40)
[17:10:44] REQUEST: 41 - STARTED in background (active_jobs=41)
[17:10:44] REQUEST: 42 - STARTED in background (active_jobs=42)
[17:10:44] REQUEST: 43 - STARTED in background (active_jobs=43)
[17:10:44] REQUEST: 44 - STARTED in background (active_jobs=44)
[17:10:44] REQUEST: 45 - STARTED in background (active_jobs=45)
[17:10:44] REQUEST: 46 - STARTED in background (active_jobs=46)
[17:10:44] REQUEST: 47 - STARTED in background (active_jobs=47)
[17:10:44] REQUEST: 48 - STARTED in background (active_jobs=48)
[17:10:44] REQUEST: 49 - STARTED in background (active_jobs=49)
[17:10:44] REQUEST: 50 - STARTED in background (active_jobs=50)
[17:10:44] REQUEST: 51 - STARTED in background (active_jobs=51)
[17:10:44] REQUEST: 52 - STARTED in background (active_jobs=52)
[17:10:44] REQUEST: 53 - STARTED in background (active_jobs=53)
[17:10:44] REQUEST: 54 - STARTED in background (active_jobs=54)
[17:10:44] REQUEST: 55 - STARTED in background (active_jobs=55)
[17:10:44] REQUEST: 56 - STARTED in background (active_jobs=56)
[17:10:44] REQUEST: 57 - STARTED in background (active_jobs=57)
[17:10:44] REQUEST: 58 - STARTED in background (active_jobs=58)
[17:10:44] REQUEST: 59 - STARTED in background (active_jobs=59)
[17:10:44] REQUEST: 60 - STARTED in background (active_jobs=60)
[17:10:44] REQUEST: 61 - STARTED in background (active_jobs=61)
[17:10:44] REQUEST: 62 - STARTED in background (active_jobs=62)
[17:10:44] REQUEST: 63 - STARTED in background (active_jobs=63)
[17:10:44] REQUEST: 64 - STARTED in background (active_jobs=64)
[17:10:44] REQUEST: 65 - STARTED in background (active_jobs=65)
[17:10:44] REQUEST: 66 - STARTED in background (active_jobs=66)
[17:10:44] REQUEST: 67 - STARTED in background (active_jobs=67)
[17:10:44] REQUEST: 68 - STARTED in background (active_jobs=68)
[17:10:44] REQUEST: 69 - STARTED in background (active_jobs=69)
[17:10:44] REQUEST: 70 - STARTED in background (active_jobs=70)
[17:10:44] REQUEST: 71 - STARTED in background (active_jobs=71)
[17:10:44] REQUEST: 72 - STARTED in background (active_jobs=72)
[17:10:44] REQUEST: 73 - STARTED in background (active_jobs=73)
[17:10:44] REQUEST: 74 - STARTED in background (active_jobs=74)
[17:10:44] REQUEST: 75 - STARTED in background (active_jobs=75)
[17:10:44] REQUEST: 76 - STARTED in background (active_jobs=76)
[17:10:44] REQUEST: 77 - STARTED in background (active_jobs=77)
[17:10:44] REQUEST: 78 - STARTED in background (active_jobs=78)
[17:10:44] REQUEST: 79 - STARTED in background (active_jobs=79)
[17:10:44] REQUEST: 80 - STARTED in background (active_jobs=80)
[17:10:44] REQUEST: 81 - STARTED in background (active_jobs=81)
[17:10:44] REQUEST: 82 - STARTED in background (active_jobs=82)
[17:10:44] REQUEST: 83 - STARTED in background (active_jobs=83)
[17:10:44] REQUEST: 84 - STARTED in background (active_jobs=84)
[17:10:44] REQUEST: 85 - STARTED in background (active_jobs=85)
[17:10:44] REQUEST: 86 - STARTED in background (active_jobs=86)
[17:10:44] REQUEST: 87 - STARTED in background (active_jobs=87)
[17:10:44] REQUEST: 88 - STARTED in background (active_jobs=88)
[17:10:44] REQUEST: 89 - STARTED in background (active_jobs=89)
[17:10:44] REQUEST: 90 - STARTED in background (active_jobs=90)
[17:10:44] REQUEST: 91 - STARTED in background (active_jobs=91)
[17:10:44] REQUEST: 92 - STARTED in background (active_jobs=92)
[17:10:44] REQUEST: 93 - STARTED in background (active_jobs=93)
[17:10:44] REQUEST: 94 - STARTED in background (active_jobs=94)
[17:10:44] REQUEST: 95 - STARTED in background (active_jobs=95)
[17:10:44] REQUEST: 96 - STARTED in background (active_jobs=96)
[17:10:44] REQUEST: 97 - STARTED in background (active_jobs=97)
[17:10:44] REQUEST: 98 - STARTED in background (active_jobs=98)
[17:10:44] REQUEST: 99 - STARTED in background (active_jobs=99)
[17:10:44] REQUEST: 100 - STARTED in background (active_jobs=100)
[17:10:44] REQUEST: 101 - STARTED in background (active_jobs=101)
[17:10:44] REQUEST: 102 - STARTED in background (active_jobs=102)
[17:10:44] REQUEST: 103 - STARTED in background (active_jobs=103)
[17:10:44] REQUEST: 104 - STARTED in background (active_jobs=104)
[17:10:44] REQUEST: 105 - STARTED in background (active_jobs=105)
[17:10:44] REQUEST: 106 - STARTED in background (active_jobs=106)
[17:10:44] REQUEST: 107 - STARTED in background (active_jobs=107)
[17:10:44] REQUEST: 108 - STARTED in background (active_jobs=108)
[17:10:44] REQUEST: 109 - STARTED in background (active_jobs=109)
[17:10:44] REQUEST: 110 - STARTED in background (active_jobs=110)
[17:10:44] REQUEST: 111 - STARTED in background (active_jobs=111)
[17:10:44] REQUEST: 112 - STARTED in background (active_jobs=112)
[17:10:44] REQUEST: 113 - STARTED in background (active_jobs=113)
[17:10:44] REQUEST: 114 - STARTED in background (active_jobs=114)
[17:10:44] REQUEST: 115 - STARTED in background (active_jobs=115)
[17:10:44] REQUEST: 116 - STARTED in background (active_jobs=116)
[17:10:44] REQUEST: 117 - STARTED in background (active_jobs=117)
[17:10:44] REQUEST: 118 - STARTED in background (active_jobs=118)
[17:10:44] REQUEST: 119 - STARTED in background (active_jobs=119)
[17:10:44] REQUEST: 120 - STARTED in background (active_jobs=120)
[17:10:44] REQUEST: 121 - STARTED in background (active_jobs=121)
[17:10:44] REQUEST: 122 - STARTED in background (active_jobs=122)
[17:10:44] REQUEST: 123 - STARTED in background (active_jobs=123)
[17:10:44] REQUEST: 124 - STARTED in background (active_jobs=124)
[17:10:44] REQUEST: 125 - STARTED in background (active_jobs=125)
[17:10:44] REQUEST: 126 - STARTED in background (active_jobs=126)
[17:10:44] REQUEST: 127 - STARTED in background (active_jobs=127)
[17:10:44] REQUEST: 128 - STARTED in background (active_jobs=128)
[17:10:44] REQUEST: 129 - STARTED in background (active_jobs=129)
[17:10:44] REQUEST: 130 - STARTED in background (active_jobs=130)
[17:10:44] REQUEST: 131 - STARTED in background (active_jobs=131)
[17:10:44] REQUEST: 132 - STARTED in background (active_jobs=132)
[17:10:44] REQUEST: 133 - STARTED in background (active_jobs=133)
[17:10:44] REQUEST: 134 - STARTED in background (active_jobs=134)
[17:10:44] REQUEST: 135 - STARTED in background (active_jobs=135)
[17:10:44] REQUEST: 136 - STARTED in background (active_jobs=136)
[17:10:44] REQUEST: 137 - STARTED in background (active_jobs=137)
[17:10:44] REQUEST: 138 - STARTED in background (active_jobs=138)
[17:10:44] REQUEST: 139 - STARTED in background (active_jobs=139)
[17:10:44] REQUEST: 140 - STARTED in background (active_jobs=140)
[17:10:44] REQUEST: 141 - STARTED in background (active_jobs=141)
[17:10:44] REQUEST: 142 - STARTED in background (active_jobs=142)
[17:10:44] REQUEST: 143 - STARTED in background (active_jobs=143)
[17:10:44] REQUEST: 144 - STARTED in background (active_jobs=144)
[17:10:44] REQUEST: 145 - STARTED in background (active_jobs=145)
[17:10:44] REQUEST: 146 - STARTED in background (active_jobs=146)
