[17:01:32] Starting load test
[17:01:32] MIG Config: all-7g.40gb
[17:01:32] Ollama Replicas: 1
[17:01:32] Total requests: 500
[17:01:32] Concurrency: 500
[17:01:32] Output tokens (effort): 25
[17:01:32] Prometheus URL: http://10.146.0.55:30090
[17:01:32] DCGM/Prometheus nominal sample interval: 5s
[17:01:32] Delayed activity wait timeout: 25s
[17:01:32] Checking required DCGM metrics
Prometheus preflight OK (DCGM_FI_PROF_GR_ENGINE_ACTIVE=1, DCGM_FI_PROF_DRAM_ACTIVE=1, DCGM_FI_DEV_FB_USED=1, DCGM_FI_DEV_FB_FREE=1, DCGM_FI_DEV_POWER_USAGE=1)
[17:01:32] REQUEST: 1 - STARTED in background (active_jobs=1)
[17:01:32] REQUEST: 2 - STARTED in background (active_jobs=2)
[17:01:32] REQUEST: 3 - STARTED in background (active_jobs=3)
[17:01:32] REQUEST: 4 - STARTED in background (active_jobs=4)
[17:01:32] REQUEST: 5 - STARTED in background (active_jobs=5)
[17:01:32] REQUEST: 6 - STARTED in background (active_jobs=6)
[17:01:32] REQUEST: 7 - STARTED in background (active_jobs=7)
[17:01:32] REQUEST: 8 - STARTED in background (active_jobs=8)
[17:01:32] REQUEST: 9 - STARTED in background (active_jobs=9)
[17:01:32] REQUEST: 10 - STARTED in background (active_jobs=10)
[17:01:32] REQUEST: 11 - STARTED in background (active_jobs=11)
[17:01:32] REQUEST: 12 - STARTED in background (active_jobs=12)
[17:01:32] REQUEST: 13 - STARTED in background (active_jobs=13)
[17:01:32] REQUEST: 14 - STARTED in background (active_jobs=14)
[17:01:32] REQUEST: 15 - STARTED in background (active_jobs=15)
[17:01:32] REQUEST: 16 - STARTED in background (active_jobs=16)
[17:01:32] REQUEST: 17 - STARTED in background (active_jobs=17)
[17:01:32] REQUEST: 18 - STARTED in background (active_jobs=18)
[17:01:32] REQUEST: 19 - STARTED in background (active_jobs=19)
[17:01:32] REQUEST: 20 - STARTED in background (active_jobs=20)
[17:01:32] REQUEST: 21 - STARTED in background (active_jobs=21)
[17:01:32] REQUEST: 22 - STARTED in background (active_jobs=22)
[17:01:32] REQUEST: 23 - STARTED in background (active_jobs=23)
[17:01:32] REQUEST: 24 - STARTED in background (active_jobs=24)
[17:01:32] REQUEST: 25 - STARTED in background (active_jobs=25)
[17:01:32] REQUEST: 26 - STARTED in background (active_jobs=26)
[17:01:32] REQUEST: 27 - STARTED in background (active_jobs=27)
[17:01:32] REQUEST: 28 - STARTED in background (active_jobs=28)
[17:01:32] REQUEST: 29 - STARTED in background (active_jobs=29)
[17:01:32] REQUEST: 30 - STARTED in background (active_jobs=30)
[17:01:32] REQUEST: 31 - STARTED in background (active_jobs=31)
[17:01:32] REQUEST: 32 - STARTED in background (active_jobs=32)
[17:01:32] REQUEST: 33 - STARTED in background (active_jobs=33)
[17:01:32] REQUEST: 34 - STARTED in background (active_jobs=34)
[17:01:32] REQUEST: 35 - STARTED in background (active_jobs=35)
[17:01:32] REQUEST: 36 - STARTED in background (active_jobs=36)
[17:01:32] REQUEST: 37 - STARTED in background (active_jobs=37)
[17:01:32] REQUEST: 38 - STARTED in background (active_jobs=38)
[17:01:32] REQUEST: 39 - STARTED in background (active_jobs=39)
[17:01:32] REQUEST: 40 - STARTED in background (active_jobs=40)
[17:01:32] REQUEST: 41 - STARTED in background (active_jobs=41)
[17:01:32] REQUEST: 42 - STARTED in background (active_jobs=42)
[17:01:32] REQUEST: 43 - STARTED in background (active_jobs=43)
[17:01:32] REQUEST: 44 - STARTED in background (active_jobs=44)
[17:01:32] REQUEST: 45 - STARTED in background (active_jobs=45)
[17:01:32] REQUEST: 46 - STARTED in background (active_jobs=46)
[17:01:32] REQUEST: 47 - STARTED in background (active_jobs=47)
[17:01:32] REQUEST: 48 - STARTED in background (active_jobs=48)
[17:01:32] REQUEST: 49 - STARTED in background (active_jobs=49)
[17:01:32] REQUEST: 50 - STARTED in background (active_jobs=50)
[17:01:32] REQUEST: 51 - STARTED in background (active_jobs=51)
[17:01:32] REQUEST: 52 - STARTED in background (active_jobs=52)
[17:01:32] REQUEST: 53 - STARTED in background (active_jobs=53)
[17:01:32] REQUEST: 54 - STARTED in background (active_jobs=54)
[17:01:32] REQUEST: 55 - STARTED in background (active_jobs=55)
[17:01:32] REQUEST: 56 - STARTED in background (active_jobs=56)
[17:01:32] REQUEST: 57 - STARTED in background (active_jobs=57)
[17:01:32] REQUEST: 58 - STARTED in background (active_jobs=58)
[17:01:32] REQUEST: 59 - STARTED in background (active_jobs=59)
[17:01:32] REQUEST: 60 - STARTED in background (active_jobs=60)
[17:01:32] REQUEST: 61 - STARTED in background (active_jobs=61)
[17:01:32] REQUEST: 62 - STARTED in background (active_jobs=62)
[17:01:32] REQUEST: 63 - STARTED in background (active_jobs=63)
[17:01:32] REQUEST: 64 - STARTED in background (active_jobs=64)
[17:01:32] REQUEST: 65 - STARTED in background (active_jobs=65)
[17:01:32] REQUEST: 66 - STARTED in background (active_jobs=66)
[17:01:32] REQUEST: 67 - STARTED in background (active_jobs=67)
[17:01:32] REQUEST: 68 - STARTED in background (active_jobs=68)
[17:01:32] REQUEST: 69 - STARTED in background (active_jobs=69)
[17:01:32] REQUEST: 70 - STARTED in background (active_jobs=70)
[17:01:32] REQUEST: 71 - STARTED in background (active_jobs=71)
[17:01:32] REQUEST: 72 - STARTED in background (active_jobs=72)
[17:01:32] REQUEST: 73 - STARTED in background (active_jobs=73)
[17:01:32] REQUEST: 74 - STARTED in background (active_jobs=74)
[17:01:32] REQUEST: 75 - STARTED in background (active_jobs=75)
[17:01:32] REQUEST: 76 - STARTED in background (active_jobs=76)
[17:01:32] REQUEST: 77 - STARTED in background (active_jobs=77)
[17:01:32] REQUEST: 78 - STARTED in background (active_jobs=78)
[17:01:32] REQUEST: 79 - STARTED in background (active_jobs=79)
[17:01:32] REQUEST: 80 - STARTED in background (active_jobs=80)
[17:01:32] REQUEST: 81 - STARTED in background (active_jobs=81)
[17:01:32] REQUEST: 82 - STARTED in background (active_jobs=82)
[17:01:32] REQUEST: 83 - STARTED in background (active_jobs=83)
[17:01:33] REQUEST: 84 - STARTED in background (active_jobs=84)
[17:01:33] REQUEST: 85 - STARTED in background (active_jobs=85)
[17:01:33] REQUEST: 86 - STARTED in background (active_jobs=86)
