[17:31:12] Starting load test
[17:31:12] MIG Config: all-3g.20gb
[17:31:12] Ollama Replicas: 1
[17:31:12] Total requests: 500
[17:31:12] Concurrency: 500
[17:31:12] Output tokens (effort): 25
[17:31:12] Prometheus URL: http://10.146.0.55:30090
[17:31:12] DCGM/Prometheus nominal sample interval: 5s
[17:31:12] Delayed activity wait timeout: 25s
[17:31:12] Checking required DCGM metrics
Prometheus preflight OK (DCGM_FI_PROF_GR_ENGINE_ACTIVE=2, DCGM_FI_PROF_DRAM_ACTIVE=2, DCGM_FI_DEV_FB_USED=2, DCGM_FI_DEV_FB_FREE=2, DCGM_FI_DEV_POWER_USAGE=2)
[17:31:13] REQUEST: 1 - STARTED in background (active_jobs=1)
[17:31:13] REQUEST: 2 - STARTED in background (active_jobs=2)
[17:31:13] REQUEST: 3 - STARTED in background (active_jobs=3)
[17:31:13] REQUEST: 4 - STARTED in background (active_jobs=4)
[17:31:13] REQUEST: 5 - STARTED in background (active_jobs=5)
[17:31:13] REQUEST: 6 - STARTED in background (active_jobs=6)
[17:31:13] REQUEST: 7 - STARTED in background (active_jobs=7)
[17:31:13] REQUEST: 8 - STARTED in background (active_jobs=8)
[17:31:13] REQUEST: 9 - STARTED in background (active_jobs=9)
[17:31:13] REQUEST: 10 - STARTED in background (active_jobs=10)
[17:31:13] REQUEST: 11 - STARTED in background (active_jobs=11)
[17:31:13] REQUEST: 12 - STARTED in background (active_jobs=12)
[17:31:13] REQUEST: 13 - STARTED in background (active_jobs=13)
[17:31:13] REQUEST: 14 - STARTED in background (active_jobs=14)
[17:31:13] REQUEST: 15 - STARTED in background (active_jobs=15)
[17:31:13] REQUEST: 16 - STARTED in background (active_jobs=16)
[17:31:13] REQUEST: 17 - STARTED in background (active_jobs=17)
[17:31:13] REQUEST: 18 - STARTED in background (active_jobs=18)
[17:31:13] REQUEST: 19 - STARTED in background (active_jobs=19)
[17:31:13] REQUEST: 20 - STARTED in background (active_jobs=20)
[17:31:13] REQUEST: 21 - STARTED in background (active_jobs=21)
[17:31:13] REQUEST: 22 - STARTED in background (active_jobs=22)
[17:31:13] REQUEST: 23 - STARTED in background (active_jobs=23)
[17:31:13] REQUEST: 24 - STARTED in background (active_jobs=24)
[17:31:13] REQUEST: 25 - STARTED in background (active_jobs=25)
[17:31:13] REQUEST: 26 - STARTED in background (active_jobs=26)
[17:31:13] REQUEST: 27 - STARTED in background (active_jobs=27)
[17:31:13] REQUEST: 28 - STARTED in background (active_jobs=28)
[17:31:13] REQUEST: 29 - STARTED in background (active_jobs=29)
[17:31:13] REQUEST: 30 - STARTED in background (active_jobs=30)
[17:31:13] REQUEST: 31 - STARTED in background (active_jobs=31)
[17:31:13] REQUEST: 32 - STARTED in background (active_jobs=32)
[17:31:13] REQUEST: 33 - STARTED in background (active_jobs=33)
[17:31:13] REQUEST: 34 - STARTED in background (active_jobs=34)
[17:31:13] REQUEST: 35 - STARTED in background (active_jobs=35)
[17:31:13] REQUEST: 36 - STARTED in background (active_jobs=36)
[17:31:13] REQUEST: 37 - STARTED in background (active_jobs=37)
[17:31:13] REQUEST: 38 - STARTED in background (active_jobs=38)
[17:31:13] REQUEST: 39 - STARTED in background (active_jobs=39)
[17:31:13] REQUEST: 40 - STARTED in background (active_jobs=40)
